playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
blankky01,2010,1,SDN,NL,OF,30,28,759,45,3,0,0,,,,,
blantjo01,2010,1,PHI,NL,P,29,28,527,6,25,2,0,,,,,
blevije01,2010,1,OAK,AL,P,63,0,146,2,5,2,0,,,,,
bloomwi01,2010,1,KCA,AL,1B,3,0,12,4,1,0,0,,,,,
bloomwi01,2010,1,KCA,AL,2B,4,4,93,9,9,1,2,,,,,
bloomwi01,2010,1,KCA,AL,3B,11,9,237,5,18,4,4,,,,,
bloomwi01,2010,1,KCA,AL,OF,35,27,766,58,3,0,0,,,,,
bloomwi01,2010,1,KCA,AL,SS,1,0,3,0,0,0,0,,,,,
bloomwi01,2010,2,CIN,NL,2B,2,0,9,0,0,0,0,,,,,
bloomwi01,2010,2,CIN,NL,OF,8,3,106,6,0,0,0,,,,,
blumge01,2010,1,HOU,NL,1B,14,10,271,90,4,1,16,,,,,
blumge01,2010,1,HOU,NL,2B,8,6,180,9,21,0,1,,,,,
blumge01,2010,1,HOU,NL,3B,14,12,326,8,32,1,1,,,,,
blumge01,2010,1,HOU,NL,SS,18,14,337,23,36,4,5,,,,,
bococbr01,2010,1,PHI,NL,SS,6,0,45,3,2,0,1,,,,,
boescbr01,2010,1,DET,AL,OF,118,111,2813,216,9,10,2,,,,,
boggsbr01,2010,1,TEX,AL,OF,4,2,54,5,0,0,0,,,,,
boggsmi01,2010,1,SLN,NL,P,61,0,202,4,7,1,0,,,,,
bogusbr01,2010,1,HOU,NL,OF,11,5,165,18,0,0,0,,,,,
bondeje01,2010,1,DET,AL,P,30,29,513,12,10,3,4,,,,,
bonifem01,2010,1,FLO,NL,2B,5,2,82,2,14,1,3,,,,,
bonifem01,2010,1,FLO,NL,3B,6,4,111,3,10,0,1,,,,,
bonifem01,2010,1,FLO,NL,OF,29,23,657,55,3,1,0,,,,,
bonifem01,2010,1,FLO,NL,SS,9,8,215,11,11,0,1,,,,,
bonined01,2010,1,DET,AL,P,47,1,204,4,6,0,3,,,,,
bonsebo01,2010,1,BOS,AL,P,2,0,6,0,1,0,0,,,,,
bonsebo01,2010,2,OAK,AL,P,13,0,69,3,5,0,0,,,,,
borboju01,2010,1,TEX,AL,OF,133,122,3305,337,2,4,0,,,,,
boscajc01,2010,1,ATL,NL,C,1,0,3,2,0,0,0,0,,0,0,
bourgja01,2010,1,HOU,NL,2B,2,0,9,2,2,0,1,,,,,
bourgja01,2010,1,HOU,NL,OF,48,23,684,65,0,0,0,,,,,
bourjpe01,2010,1,LAA,AL,OF,51,49,1349,149,10,1,1,,,,,
bournmi01,2010,1,HOU,NL,OF,138,133,3568,359,8,3,2,,,,,
bowdemi01,2010,1,BOS,AL,P,14,0,46,0,1,1,0,,,,,
bowerce01,2010,1,OAK,AL,P,14,0,42,1,0,0,0,,,,,
bowkejo01,2010,1,SFN,NL,OF,24,18,488,33,1,0,0,,,,,
bowkejo01,2010,2,PIT,NL,1B,5,4,111,29,3,1,1,,,,,
bowkejo01,2010,2,PIT,NL,OF,16,15,357,30,0,1,0,,,,,
boyerbl01,2010,1,ARI,NL,P,54,0,171,4,13,1,1,,,,,
braddza01,2010,1,MIL,NL,P,46,0,101,0,2,0,0,,,,,
bradeda01,2010,1,OAK,AL,P,30,30,578,12,32,2,4,,,,,
bradlmi01,2010,1,SEA,AL,OF,40,39,991,88,3,2,0,,,,,
brantmi02,2010,1,CLE,AL,OF,72,69,1877,161,0,2,0,,,,,
branyru01,2010,1,CLE,AL,1B,47,44,1150,426,44,5,64,,,,,
branyru01,2010,2,SEA,AL,1B,4,4,99,32,1,0,2,,,,,
braunry02,2010,1,MIL,NL,OF,153,153,3978,279,6,3,1,,,,,
braybi01,2010,1,CIN,NL,P,35,0,85,2,2,1,0,,,,,
breslcr01,2010,1,OAK,AL,P,75,0,224,2,2,1,0,,,,,
brignre01,2010,1,TBA,AL,2B,68,38,1168,77,129,5,19,,,,,
brignre01,2010,1,TBA,AL,OF,2,0,6,1,0,0,0,,,,,
brignre01,2010,1,TBA,AL,SS,50,37,1022,56,108,4,20,,,,,
browndo01,2010,1,PHI,NL,OF,15,13,336,28,1,1,0,,,,,
browndu01,2010,1,BOS,AL,C,7,3,107,26,4,0,2,2,,5,2,
brownjo05,2010,1,CLE,AL,1B,10,8,219,70,2,0,5,,,,,
brownjo05,2010,1,CLE,AL,OF,7,7,171,17,1,0,0,,,,,
broxtjo01,2010,1,LAN,NL,P,64,0,187,3,7,0,0,,,,,
