yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2010,ARI,NL,bensokr01,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2010,BAL,AL,bergebr02,30,28,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2010,CHN,NL,bergju01,41,0,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0
2010,WAS,NL,bergmja01,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2010,BAL,AL,berkeja01,41,0,4,41,41,0,0,0,0,0,0,0,0,0,0,0,0
2010,HOU,NL,berkmla01,85,84,85,85,0,0,85,0,0,0,0,0,0,0,0,0,0
2010,NYA,AL,berkmla01,37,28,37,8,0,0,8,0,0,0,0,0,0,0,25,9,0
2010,WAS,NL,bernaro01,134,111,134,130,0,0,0,0,0,0,44,26,77,130,0,5,4
2010,COL,NL,betanra01,72,0,68,72,72,0,0,0,0,0,0,0,0,0,0,0,0
2010,KCA,AL,betanyu01,151,151,151,151,0,0,0,0,0,151,0,0,0,0,0,0,0
2010,KCA,AL,betemwi01,84,71,84,61,0,0,5,2,53,0,2,0,0,2,15,10,1
2010,LAN,NL,billich01,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2010,WAS,NL,bisenjo01,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIN,AL,blackni01,28,26,2,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2010,LAN,NL,blakeca01,146,134,146,140,0,0,1,0,139,0,0,0,0,0,0,8,0
2010,TBA,AL,blaloha01,26,15,26,5,0,0,1,0,2,0,0,0,2,2,14,11,0
2010,TEX,AL,blancan01,68,48,68,64,0,0,0,40,9,16,0,0,0,0,1,4,2
2010,ATL,NL,blancgr01,36,16,36,33,0,0,0,0,0,0,7,26,0,33,0,2,4
2010,KCA,AL,blancgr01,49,44,49,44,0,0,0,0,0,0,1,40,3,44,1,3,2
2010,NYN,NL,blanche01,50,41,50,46,0,46,0,0,0,0,0,0,0,0,0,5,1
