playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
cahiltr01,2010,1,OAK,AL,30,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
cainlo01,2010,1,MIL,NL,43,147,17,45,11,1,1,13,7,1,9,28,0,1,0,1,1
cainma01,2010,1,SFN,NL,35,66,3,7,1,0,0,1,0,0,1,33,0,0,10,0,0
cairomi01,2010,1,CIN,NL,91,200,30,58,12,0,4,28,4,0,17,30,0,4,2,3,4
callaal01,2010,1,KCA,AL,88,349,40,96,19,2,8,43,3,1,19,29,2,0,0,5,14
camermi01,2010,1,BOS,AL,48,162,24,42,11,0,4,15,0,1,14,44,0,3,0,1,3
campsh01,2010,1,TOR,AL,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
canoro01,2010,1,NYA,AL,160,626,103,200,41,3,29,109,3,2,57,77,14,8,0,5,19
cantujo01,2010,1,FLO,NL,97,374,41,98,25,0,10,54,0,0,23,76,1,6,0,7,11
cappsma01,2010,1,WAS,NL,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
capuach01,2010,1,MIL,NL,24,18,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0
carides01,2010,1,CHN,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carlilu01,2010,1,CLE,AL,6,14,4,5,0,0,2,3,0,0,2,5,0,0,0,0,0
carlsje01,2010,1,TOR,AL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carmofa01,2010,1,CLE,AL,33,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
carpean01,2010,1,PHI,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpech01,2010,1,SLN,NL,35,72,2,8,0,0,1,4,0,0,1,25,0,1,10,0,2
carpmi01,2010,1,SEA,AL,14,37,1,7,2,0,0,0,0,0,4,8,0,0,0,0,0
carraca01,2010,1,CLE,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carradj01,2010,1,PIT,NL,45,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
carrobr01,2010,1,FLO,NL,32,76,13,15,4,0,2,7,2,1,6,29,3,7,0,1,2
carroja01,2010,1,LAN,NL,133,351,48,102,15,1,0,23,12,4,51,64,3,2,5,5,8
carsoma01,2010,1,OAK,AL,36,79,7,14,2,0,4,9,4,0,2,23,0,0,0,2,0
cartech01,2010,1,NYN,NL,100,167,15,44,9,0,4,24,1,2,12,17,0,1,0,0,2
cartech02,2010,1,OAK,AL,24,70,8,13,1,0,3,7,1,0,7,21,0,0,0,1,3
cashke01,2010,1,HOU,NL,20,54,3,11,1,0,2,4,0,0,5,13,0,0,2,0,2
